model;difficulty_score;difficulty_score_article;difficulty_score_article_capped_100
model_10001618;20,742262;6,877551;6,877551
model_10001619;22,136163;11,428571;11,428571
model_10001620;8,479481;3,071429;3,071429
model_10001621;16,273977;8,724490;8,724490
model_10001622;28,361118;19,051020;19,051020
model_10001623;46,152792;12,571429;12,571429
model_10001624;23,166885;14,367347;14,367347
model_10001625;37,999743;17,948980;17,948980
model_10001626;6,289214;1,061224;1,061224
model_10001627;18,131076;5,020408;5,020408
model_10001628;30,426500;19,418367;19,418367
model_10001629;15,333457;8,244898;8,244898
model_10001630;19,517270;5,489796;5,489796
model_10001631;16,203433;4,846939;4,846939
model_10001632;22,136163;11,428571;11,428571
model_10001633;60,187839;72,183673;72,183673
model_10001634;52,170630;23,030612;23,030612
model_10001635;25,490769;10,102041;10,102041
model_10001636;7,290057;0,591837;0,591837
model_10001637;24,899511;13,387755;13,387755
model_10001638;20,120185;5,377551;5,377551
model_10001639;15,187365;2,826531;2,826531
model_10001640;17,965743;2,500000;2,500000
model_10001641;19,275228;8,244898;8,244898
model_10001642;20,308660;5,255102;5,255102
model_10001643;24,035786;10,000000;10,000000
model_10001644;13,403402;4,765306;4,765306
model_10001645;6,408057;2,010204;2,010204
model_10001646;32,658830;12,928571;12,928571
model_10001647;22,910456;6,275510;6,275510
model_10001648;9,758164;2,061224;2,061224
model_10001649;26,379645;8,081633;8,081633
model_10001650;20,595696;5,255102;5,255102
model_10001651;29,004845;12,602041;12,602041
model_10001652;32,071059;8,040816;8,040816
model_10001653;20,520279;9,285714;9,285714
model_10001654;37,999743;17,948980;17,948980
model_10001655;31,039458;12,510204;12,510204
model_10001656;20,525294;5,612245;5,612245
model_10001657;33,489338;10,816327;10,816327
model_10001658;20,234103;9,387755;9,387755
model_10001659;21,608587;6,612245;6,612245
model_10001660;8,924973;4,377551;4,377551
model_10001661;16,152387;4,591837;4,591837
model_10001662;25,119148;7,673469;7,673469
model_10001663;13,414291;3,306122;3,306122
model_10001664;12,210106;4,163265;4,163265
model_10001665;16,062408;1,071429;1,071429
model_10001666;34,651677;20,571429;20,571429
model_10001667;35,683432;16,795918;16,795918
model_10001668;27,635615;8,163265;8,163265
model_10001669;23,076395;4,540816;4,540816
model_10001670;31,380500;15,683673;15,683673
model_10001671;16,241720;3,928571;3,928571
model_10001672;49,102916;44,928571;44,928571
model_10001673;24,753340;5,530612;5,530612
model_10001674;20,308660;5,255102;5,255102
model_10001675;14,600473;7,887755;7,887755
model_10001676;31,460784;12,418367;12,418367
model_10001677;28,643337;10,734694;10,734694
model_10001678;12,314160;6,295918;6,295918
model_10001679;21,131387;9,234694;9,234694
model_10001680;11,220452;4,010204;4,010204
model_10001681;47,742564;40,397959;40,397959
model_10001682;22,246302;8,040816;8,040816
model_10001683;18,036389;7,806122;7,806122
model_10001684;21,187205;6,326531;6,326531
model_10001685;31,114745;12,918367;12,918367
model_10001686;19,654795;7,204082;7,204082
model_10001687;26,928690;16,316327;16,316327
model_10001688;7,290057;0,591837;0,591837
model_10001689;8,403436;0,948980;0,948980
model_10001690;19,321766;8,612245;8,612245
model_10001691;20,810211;5,255102;5,255102
model_10001692;21,159870;4,846939;4,846939
model_10001693;20,308660;5,255102;5,255102
model_10001694;43,658093;12,010204;12,010204
model_10001695;43,711488;21,306122;21,306122
model_10001696;17,577580;6,734694;6,734694
model_10001697;39,578469;15,102041;15,102041
model_10001698;15,187365;2,826531;2,826531
model_10001699;41,380961;12,744898;12,744898
model_100017;50,575598;49,520408;49,520408
model_10001700;11,744022;2,826531;2,826531
model_10001701;20,308660;5,255102;5,255102
model_10001702;22,136163;11,428571;11,428571
model_10001703;37,657991;16,234694;16,234694
model_10001704;24,158404;12,551020;12,551020
model_10001705;39,143929;10,795918;10,795918
model_10001706;23,385173;7,204082;7,204082
model_10001707;45,096383;12,571429;12,571429
model_10001708;15,272453;0,714286;0,714286
model_10001709;13,044020;10,132653;10,132653
model_10001710;29,629207;15,153061;15,153061
model_10001711;36,450193;15,642857;15,642857
model_10001712;12,704989;5,071429;5,071429
model_10001713;37,373856;20,867347;20,867347
model_10001714;26,454791;7,071429;7,071429
model_10001715;31,076585;14,897959;14,897959
model_10001716;16,152387;4,591837;4,591837
model_10001717;19,987962;14,846939;14,846939
model_10001718;33,799203;10,112245;10,112245
model_10001719;26,391992;8,520408;8,520408
model_10001720;38,189900;8,530612;8,530612
model_10001721;20,974559;7,714286;7,714286
model_10001722;20,615790;7,142857;7,142857
model_10001723;20,308660;5,255102;5,255102
model_10001724;46,452015;12,979592;12,979592
model_10001725;6,289214;1,061224;1,061224
model_10001726;22,136163;11,428571;11,428571
model_10001727;25,998728;12,663265;12,663265
model_10001728;27,873028;11,744898;11,744898
model_10001729;27,873028;11,744898;11,744898
model_10001730;40,679039;10,193878;10,193878
model_10001731;41,903563;33,295918;33,295918
model_10001732;30,834503;12,061224;12,061224
model_10001733;19,689036;5,020408;5,020408
model_10001734;14,169667;6,897959;6,897959
model_10001735;46,452015;12,979592;12,979592
model_10001736;25,156418;15,734694;15,734694
model_10001737;16,098713;2,826531;2,826531
model_10001738;30,539034;13,204082;13,204082
model_10001739;24,203677;7,918367;7,918367
model_10001740;11,270573;4,724490;4,724490
model_10001741;14,199575;4,377551;4,377551
model_10001742;16,152387;4,591837;4,591837
model_10001743;17,321090;7,306122;7,306122
model_10001744;40,679039;10,193878;10,193878
model_10001745;21,940388;10,153061;10,153061
model_10001746;30,752991;8,234694;8,234694
model_10001747;9,865899;2,071429;2,071429
model_10001748;22,903529;11,836735;11,836735
model_10001749;15,132606;0,357143;0,357143
model_10001750;14,605974;4,132653;4,132653
model_10001751;26,358444;11,234694;11,234694
model_10001752;36,248308;27,224490;27,224490
model_10001753;16,062408;1,071429;1,071429
model_10001754;40,066031;14,663265;14,663265
model_10001755;21,525899;4,897959;4,897959
model_10001756;13,471951;6,663265;6,663265
model_10001757;16,246894;5,714286;5,714286
model_10001758;24,137157;7,765306;7,765306
model_10001759;27,914051;10,581633;10,581633
model_10001760;38,202745;18,183673;18,183673
model_10001761;16,743895;5,306122;5,306122
model_10001762;10,226329;1,775510;1,775510
model_10001763;41,801422;21,918367;21,918367
model_10001764;15,687275;2,377551;2,377551
model_10001765;20,595696;5,255102;5,255102
model_10001766;21,139147;10,367347;10,367347
model_10001767;31,092126;14,163265;14,163265
model_10001768;45,096383;12,571429;12,571429
model_10001769;19,662048;5,255102;5,255102
model_10001770;11,370122;5,989796;5,989796
model_10001771;16,098713;2,826531;2,826531
model_10001772;17,693809;2,959184;2,959184
model_10001773;21,602089;10,306122;10,306122
model_10001774;45,096383;12,571429;12,571429
model_10001775;17,089486;11,234694;11,234694
model_10001776;16,530660;11,030612;11,030612
model_10001777;27,873028;11,744898;11,744898
model_10001778;27,921513;17,826531;17,826531
model_10001779;12,582581;7,408163;7,408163
model_10001780;24,388213;10,051020;10,051020
model_10001781;17,435357;6,285714;6,285714
model_10001782;15,050080;3,591837;3,591837
model_10001783;32,108707;16,530612;16,530612
model_10001784;12,712465;4,030612;4,030612
model_10001785;26,392743;8,081633;8,081633
model_10001786;20,308660;5,255102;5,255102
model_10001787;25,746131;8,081633;8,081633
model_10001788;24,476376;54,183673;54,183673
model_10001789;26,197744;8,438776;8,438776
model_10001790;21,194551;9,775510;9,775510
model_10001791;22,379001;8,397959;8,397959
model_10001792;14,626700;3,132653;3,132653
model_10001793;22,841968;3,785714;3,785714
model_10001794;28,270460;14,928571;14,928571
model_10001795;19,393891;10,979592;10,979592
model_10001796;19,689036;5,020408;5,020408
model_10001797;5,175275;1,540816;1,540816
model_10001798;25,746131;8,081633;8,081633
model_10001799;18,556617;7,061224;7,061224
model_100018;38,140274;26,530612;26,530612
model_10001800;19,662048;5,255102;5,255102
model_10001801;12,686936;3,122449;3,122449
model_10001802;31,934748;12,887755;12,887755
model_10001803;24,596873;11,173469;11,173469
model_10001804;23,228496;4,887755;4,887755
model_10001805;21,653316;5,469388;5,469388
model_10001806;30,296753;12,795918;12,795918
model_10001807;26,055303;9,989796;9,989796
model_10001808;41,544520;21,081633;21,081633
model_10001809;46,152792;12,571429;12,571429
model_10001810;36,235492;21,102041;21,102041
model_10001811;44,368666;23,193878;23,193878
model_10001812;42,108838;54,714286;54,714286
model_10001813;14,975212;3,295918;3,295918
model_10001814;28,608089;5,887755;5,887755
model_10001815;28,674903;10,918367;10,918367
model_10001816;22,136163;11,428571;11,428571
model_10001817;34,966809;7,510204;7,510204
model_10001818;31,703411;12,653061;12,653061
model_10001819;15,272453;0,714286;0,714286
model_10001820;15,783236;10,469388;10,469388
model_10001821;27,309732;9,857143;9,857143
model_10001822;41,360874;12,295918;12,295918
model_10001823;21,120005;6,642857;6,642857
model_10001824;19,037736;5,255102;5,255102
model_10001825;34,875232;10,122449;10,122449
model_10001826;20,308660;5,255102;5,255102
model_10001827;27,533701;13,071429;13,071429
model_10001828;20,830685;4,295918;4,295918
model_10001829;46,794581;14,928571;14,928571
model_10001830;25,592881;6,010204;6,010204
model_10001831;36,172729;12,418367;12,418367
model_10001832;43,666492;35,989796;35,989796
model_10001833;27,873028;11,744898;11,744898
model_10001834;11,971179;3,806122;3,806122
model_10001835;16,152387;4,591837;4,591837
model_10001836;27,873028;11,744898;11,744898
model_10001837;20,595696;5,255102;5,255102
model_10001838;25,746131;8,081633;8,081633
model_10001839;44,368666;23,193878;23,193878
model_10001840;36,180140;23,255102;23,255102
model_10001841;42,457138;19,051020;19,051020
model_10001842;45,096383;12,571429;12,571429
model_10001843;26,033167;8,081633;8,081633
model_10001844;27,460260;8,153061;8,153061
model_10001845;21,995360;7,000000;7,000000
model_10001846;27,993940;10,510204;10,510204
model_10001847;44,782254;12,285714;12,285714
model_10001848;23,947899;13,653061;13,653061
model_10001849;47,442549;12,632653;12,632653
model_10001850;37,867479;15,397959;15,397959
model_10001851;21,577577;5,663265;5,663265
model_10001852;25,210995;9,459184;9,459184
model_10001853;26,085713;6,653061;6,653061
model_10001854;39,812617;8,887755;8,887755
model_10001855;17,355210;4,530612;4,530612
model_10001856;17,888676;6,846939;6,846939
model_10001857;16,152387;4,591837;4,591837
model_10001858;21,419917;8,153061;8,153061
model_10001859;20,595696;5,255102;5,255102
model_10001860;20,884595;10,173469;10,173469
model_10001861;27,899058;10,744898;10,744898
model_10001862;12,212949;5,561224;5,561224
model_10001863;45,559963;29,857143;29,857143
model_10001864;21,097247;5,255102;5,255102
model_10001865;22,910456;6,275510;6,275510
model_10001866;30,090800;10,122449;10,122449
model_10001867;10,954236;4,551020;4,551020
model_10001868;27,775752;13,204082;13,204082
model_10001869;19,461582;13,163265;13,163265
model_10001870;34,964270;19,806122;19,806122
model_10001871;20,810211;5,255102;5,255102
model_10001872;30,167128;13,224490;13,224490
model_10001873;20,595696;5,255102;5,255102
model_10001874;20,595696;5,255102;5,255102
model_10001875;20,812330;5,612245;5,612245
model_10001876;22,136163;11,428571;11,428571
model_10001877;28,706933;16,704082;16,704082
model_10001878;13,693128;11,561224;11,561224
model_10001879;6,866867;2,367347;2,367347
model_10001880;4,982864;1,295918;1,295918
model_10001881;42,986562;10,693878;10,693878
model_10001882;36,574222;33,622449;33,622449
model_10001883;17,774890;4,489796;4,489796
model_10001884;34,249721;8,989796;8,989796
model_10001885;23,593899;6,367347;6,367347
model_10001887;15,132606;0,357143;0,357143
model_10001888;13,612798;7,020408;7,020408
model_10001889;22,307606;12,142857;12,142857
model_10001890;17,345581;1,071429;1,071429
model_10001891;27,858491;12,816327;12,816327
model_10001892;36,784654;23,489796;23,489796
model_10001893;16,152387;4,591837;4,591837
model_10001894;13,613856;4,142857;4,142857
model_10001895;16,152387;4,591837;4,591837
model_10001896;37,571224;20,622449;20,622449
model_10001897;44,523164;36,918367;36,918367
model_10001898;39,952413;33,867347;33,867347
model_10001899;26,922298;20,112245;20,112245
model_100019;38,140274;26,530612;26,530612
model_10001900;25,813696;9,275510;9,275510
model_10001901;21,097247;5,255102;5,255102
model_10001902;46,452015;12,979592;12,979592
model_10001903;49,278243;28,724490;28,724490
model_10001904;22,136163;11,428571;11,428571
model_10001905;19,306691;9,234694;9,234694
model_10001906;11,643547;2,061224;2,061224
model_10001907;7,290057;0,591837;0,591837
model_10001908;41,511347;20,806122;20,806122
model_10001909;39,245743;33,734694;33,734694
model_10001910;15,272453;0,714286;0,714286
model_10001911;27,135441;12,214286;12,214286
model_10001912;45,096383;12,571429;12,571429
model_10001914;26,033167;8,081633;8,081633
model_10001915;43,288823;35,897959;35,897959
model_10001916;53,949032;33,867347;33,867347
model_10001917;15,687275;2,377551;2,377551
model_10001918;22,621177;9,112245;9,112245
model_10001919;37,461534;12,826531;12,826531
model_10001920;15,132606;0,357143;0,357143
model_10001921;15,272453;0,714286;0,714286
model_10001922;27,128632;9,857143;9,857143
model_10001923;25,746131;8,081633;8,081633
model_10001924;16,152387;4,591837;4,591837
model_10001925;36,050687;16,346939;16,346939
model_10001926;28,816194;19,244898;19,244898
model_10001927;25,923465;10,336735;10,336735
model_10001928;13,291035;4,785714;4,785714
model_10001929;20,525294;5,612245;5,612245
model_10001930;27,042415;11,581633;11,581633
model_10001931;40,808438;6,500000;6,500000
model_10001932;13,678723;10,744898;10,744898
model_10001933;17,152353;5,255102;5,255102
model_10001934;8,714297;1,775510;1,775510
model_10001935;20,812330;5,612245;5,612245
model_10001936;20,308660;5,255102;5,255102
model_10001937;28,456769;19,408163;19,408163
model_10001938;22,136163;11,428571;11,428571
model_10001939;43,169356;18,336735;18,336735
model_10001940;22,136163;11,428571;11,428571
model_10001941;27,182821;21,285714;21,285714
model_10001942;35,704134;18,969388;18,969388
model_10001943;10,701948;5,000000;5,000000
model_10001944;28,295127;12,591837;12,591837
model_10001945;27,721910;9,520408;9,520408
model_10001946;15,272453;0,714286;0,714286
model_10001947;22,208099;9,132653;9,132653
model_10001948;23,385173;7,204082;7,204082
model_10001949;15,272453;0,714286;0,714286
model_10001950;22,136163;11,428571;11,428571
model_10001951;27,021182;19,091837;19,091837
model_10001952;19,497468;7,959184;7,959184
model_10001953;38,177000;7,234694;7,234694
model_10001954;25,536376;10,051020;10,051020
model_10001955;17,175788;1,785714;1,785714
model_10001956;32,689852;20,020408;20,020408
model_10001958;20,885442;14,173469;14,173469
model_10001959;19,662048;5,255102;5,255102
model_10001960;27,519706;7,326531;7,326531
model_10001961;55,105675;38,622449;38,622449
model_10001962;20,308660;5,255102;5,255102
model_10001963;45,096383;12,571429;12,571429
model_10001964;29,193176;15,714286;15,714286
model_10001965;41,919702;10,744898;10,744898
model_10001966;20,595696;5,255102;5,255102
model_10001967;25,342132;10,183673;10,183673
model_10001968;31,788544;28,734694;28,734694
model_10001969;42,986562;10,693878;10,693878
model_10001970;21,115821;4,030612;4,030612
model_10001971;15,187365;2,826531;2,826531
model_10001972;27,140900;7,908163;7,908163
model_10001973;32,256424;11,775510;11,775510
model_10001974;22,979351;6,887755;6,887755
model_10001975;22,616103;7,561224;7,561224
model_10001976;35,439641;10,877551;10,877551
model_10001977;27,873028;11,744898;11,744898
model_10001978;19,949084;5,255102;5,255102
model_10001979;21,828712;16,071429;16,071429
model_10001980;16,152387;4,591837;4,591837
model_10001981;39,028162;25,214286;25,214286
model_10001982;20,308660;5,255102;5,255102
model_10001983;45,638695;16,581633;16,581633
model_10001984;16,152387;4,591837;4,591837
model_10001985;44,381565;36,102041;36,102041
model_10001986;19,264250;5,918367;5,918367
model_10001987;27,446681;12,091837;12,091837
model_10001988;16,062408;1,071429;1,071429
model_10001989;25,490769;10,102041;10,102041
model_10001990;13,472492;10,918367;10,918367
model_10001991;47,208101;14,408163;14,408163
model_10001992;9,418865;1,591837;1,591837
model_10001993;23,158693;67,112245;67,112245
model_10001994;23,033780;10,540816;10,540816
model_10001995;14,914496;6,020408;6,020408
model_10001996;20,308660;5,255102;5,255102
model_10001997;21,097247;5,255102;5,255102
model_10001998;26,716179;21,193878;21,193878
model_10001999;13,629405;2,826531;2,826531
model_10002;42,271943;15,602041;15,602041
model_100020;42,195280;49,846939;49,846939
model_10002000;25,002041;19,469388;19,469388
model_10002001;20,066484;4,897959;4,897959
model_10002002;22,136163;11,428571;11,428571
model_10002004;26,350119;8,795918;8,795918
model_10002005;9,359456;3,530612;3,530612
model_10002006;49,104611;62,397959;62,397959
model_10002007;15,987763;5,234694;5,234694
model_10002008;26,409269;11,459184;11,459184
model_10002009;17,734631;3,234694;3,234694
model_10002010;7,290057;0,591837;0,591837
model_10002011;24,188171;8,081633;8,081633
model_10002012;36,183031;20,836735;20,836735
model_10002013;27,843653;9,367347;9,367347
model_10002014;27,873028;11,744898;11,744898
model_10002015;29,689023;17,734694;17,734694
model_10002016;30,485077;23,734694;23,734694
model_10002017;60,808619;80,683673;80,683673
model_10002018;26,983851;19,806122;19,806122
model_10002019;27,574186;12,336735;12,336735
model_10002020;42,953633;14,775510;14,775510
model_10002021;37,999743;17,948980;17,948980
model_10002022;10,460999;5,744898;5,744898
model_10002023;16,152387;4,591837;4,591837
model_10002024;28,361118;19,051020;19,051020
model_10002025;24,579399;5,377551;5,377551
model_10002026;22,910456;6,275510;6,275510
model_10002027;36,313903;12,418367;12,418367
model_10002028;24,467933;5,367347;5,367347
model_10002029;39,379553;19,448980;19,448980
model_10002030;17,150423;10,581633;10,581633
model_10002031;27,680690;11,357143;11,357143
model_10002032;20,595696;5,255102;5,255102
model_10002033;32,598454;19,663265;19,663265
model_10002034;33,528400;18,744898;18,744898
model_10002035;22,165077;8,244898;8,244898
model_10002036;23,987856;14,132653;14,132653
model_10002037;16,583230;4,785714;4,785714
model_10002038;20,598279;7,285714;7,285714
model_10002039;20,308660;5,255102;5,255102
model_10002040;38,410693;30,765306;30,765306
model_10002041;20,810211;5,255102;5,255102
model_10002042;51,471531;49,795918;49,795918
model_10002043;13,961791;7,602041;7,602041
model_10002044;37,550733;15,153061;15,153061
model_10002045;31,341206;15,367347;15,367347
model_10002046;27,899058;10,744898;10,744898
model_10002047;40,112450;17,816327;17,816327
model_10002048;26,048002;12,775510;12,775510
model_10002049;24,255922;15,377551;15,377551
model_10002050;16,152387;4,591837;4,591837
model_10002051;25,521036;6,010204;6,010204
model_10002052;26,551115;12,489796;12,489796
model_10002053;20,595696;5,255102;5,255102
model_10002054;34,875232;10,122449;10,122449
model_10002055;26,716179;21,193878;21,193878
model_10002056;16,062408;1,071429;1,071429
model_10002057;17,987019;5,765306;5,765306
model_10002058;16,098713;2,826531;2,826531
model_10002059;20,058546;8,622449;8,622449
model_10002060;21,929543;17,244898;17,244898
model_10002061;27,873028;11,744898;11,744898
model_10002062;8,192549;1,775510;1,775510
model_10002063;27,063666;8,826531;8,826531
model_10002064;17,894532;7,448980;7,448980
model_10002065;27,323440;19,918367;19,918367
model_10002066;43,658093;12,010204;12,010204
model_10002067;36,695479;8,714286;8,714286
model_10002068;23,757390;21,979592;21,979592
model_10002069;20,308660;5,255102;5,255102
model_10002070;30,908320;9,244898;9,244898
model_10002071;31,170496;17,571429;17,571429
model_10002072;15,272453;0,714286;0,714286
model_10002073;12,683354;2,183673;2,183673
model_10002074;16,098713;2,826531;2,826531
model_10002075;32,598454;19,663265;19,663265
model_10002076;28,361118;19,051020;19,051020
model_10002077;21,369035;3,938776;3,938776
model_10002078;40,679039;10,193878;10,193878
model_10002079;26,032494;12,938776;12,938776
model_10002080;19,859657;7,448980;7,448980
model_10002081;38,271017;7,234694;7,234694
model_10002082;27,898365;8,724490;8,724490
model_10002083;25,469298;14,653061;14,653061
model_10002084;21,301652;6,581633;6,581633
model_10002086;39,683094;36,918367;36,918367
model_10002087;27,873028;11,744898;11,744898
model_10002088;24,767939;6,387755;6,387755
model_10002089;16,152387;4,591837;4,591837
model_10002090;40,467396;9,959184;9,959184
model_10002091;20,438007;7,765306;7,765306
model_10002092;27,049078;8,234694;8,234694
model_10002093;19,689036;5,020408;5,020408
model_10002094;30,017555;23,734694;23,734694
model_10002095;19,662048;5,255102;5,255102
model_10002096;31,703411;12,653061;12,653061
model_10002097;17,599075;2,142857;2,142857
model_10002098;45,789724;31,030612;31,030612
model_10002099;22,503652;8,755102;8,755102
model_100021;42,195280;49,846939;49,846939
model_10002100;47,308085;39,938776;39,938776
model_10002101;40,679039;10,193878;10,193878
model_10002102;24,307111;9,000000;9,000000
model_10002103;28,303741;13,683673;13,683673
model_10002104;16,152387;4,591837;4,591837
model_10002105;16,152387;4,591837;4,591837
model_10002106;27,873028;11,744898;11,744898
model_10002107;31,703411;12,653061;12,653061
model_10002108;43,132491;13,561224;13,561224
model_10002109;10,708621;3,918367;3,918367
model_10002110;24,594076;6,602041;6,602041
model_10002111;33,489338;10,816327;10,816327
model_10002112;40,408147;22,581633;22,581633
model_10002113;21,644827;15,765306;15,765306
model_10002114;32,009436;11,479592;11,479592
model_10002115;47,324617;20,244898;20,244898
model_10002116;31,567674;15,316327;15,316327
model_10002117;23,395674;12,306122;12,306122
model_10002118;31,124900;8,408163;8,408163
model_10002119;24,400136;9,295918;9,295918
model_10002120;14,776412;5,551020;5,551020
model_10002121;26,857068;6,938776;6,938776
model_10002122;30,543442;10,826531;10,826531
model_10002123;30,426500;19,418367;19,418367
model_10002124;22,452876;9,704082;9,704082
model_10002125;8,483087;2,367347;2,367347
model_10002126;24,178015;7,010204;7,010204
model_10002127;20,679252;5,183673;5,183673
model_10002128;34,721179;9,989796;9,989796
model_10002129;5,816295;3,295918;3,295918
model_10002130;21,525899;4,897959;4,897959
model_10002131;22,621109;10,846939;10,846939
model_10002132;35,799394;11,306122;11,306122
model_10002133;44,029156;14,469388;14,469388
model_10002135;19,558462;4,530612;4,530612
model_10002136;19,402000;5,020408;5,020408
model_10002137;26,741664;6,204082;6,204082
model_10002138;43,765884;22,775510;22,775510
model_10002139;19,846364;7,040816;7,040816
model_10002140;45,096383;12,571429;12,571429
model_10002142;11,128976;3,122449;3,122449
model_10002143;15,132606;0,357143;0,357143
model_10002144;38,002248;10,030612;10,030612
model_10002145;23,018069;8,673469;8,673469
model_10002146;20,481815;6,785714;6,785714
model_10002147;45,096383;12,571429;12,571429
model_10002148;23,986351;13,377551;13,377551
model_10002149;38,600838;13,346939;13,346939
model_10002150;24,343906;13,908163;13,908163
model_10002151;32,598454;19,663265;19,663265
model_10002152;18,672742;4,846939;4,846939
model_10002153;25,439674;10,591837;10,591837
model_10002154;28,022262;10,316327;10,316327
model_10002155;11,431394;2,530612;2,530612
model_10002156;5,858501;0,826531;0,826531
model_10002157;26,563458;21,183673;21,183673
model_10002158;31,538968;13,336735;13,336735
model_10002159;43,913635;18,163265;18,163265
model_10002160;20,595696;5,255102;5,255102
model_10002161;16,152387;4,591837;4,591837
model_10002162;22,922959;2,500000;2,500000
model_10002163;24,343906;13,908163;13,908163
model_10002164;30,968516;12,551020;12,551020
model_10002165;32,786724;17,163265;17,163265
model_10002166;36,310863;20,102041;20,102041
model_10002167;13,615964;4,112245;4,112245
model_10002168;34,958245;11,102041;11,102041
model_10002169;29,183210;9,295918;9,295918
model_10002170;33,187527;11,255102;11,255102
model_10002171;13,239861;2,010204;2,010204
model_10002172;24,363480;14,357143;14,357143
model_10002173;20,243095;7,051020;7,051020
model_10002174;38,971067;11,989796;11,989796
model_10002175;32,999068;14,408163;14,408163
model_10002176;21,993479;7,295918;7,295918
model_10002177;20,888760;9,000000;9,000000
model_10002178;24,186901;13,979592;13,979592
model_10002179;29,711288;16,663265;16,663265
model_10002180;27,873028;11,744898;11,744898
model_10002181;61,040372;116,714286;100,000000
model_10002182;20,595696;5,255102;5,255102
model_10002183;22,910456;6,275510;6,275510
model_10002184;31,250244;16,979592;16,979592
model_10002185;16,062408;1,071429;1,071429
model_10002186;37,999743;17,948980;17,948980
model_10002187;51,277223;27,071429;27,071429
model_10002188;35,980047;23,040816;23,040816
model_10002189;40,112450;17,816327;17,816327
model_10002190;20,693801;4,000000;4,000000
model_10002191;40,521515;9,224490;9,224490
model_10002192;31,711478;12,163265;12,163265
model_10002193;20,406778;10,561224;10,561224
model_10002194;21,075230;5,489796;5,489796
model_10002195;20,595696;5,255102;5,255102
model_10002196;26,666884;13,846939;13,846939
model_10002197;23,383913;10,061224;10,061224
model_10002198;24,316250;6,408163;6,408163
model_10002199;17,470927;9,469388;9,469388
model_100022;30,194666;8,183673;8,183673
model_10002200;25,411308;12,816327;12,816327
model_10002201;23,370445;11,459184;11,459184
model_10002202;26,563458;21,183673;21,183673
model_10002203;31,170496;17,571429;17,571429
model_10002204;27,956527;10,806122;10,806122
model_10002205;25,490769;10,102041;10,102041
model_10002206;45,075828;33,346939;33,346939
model_10002207;35,264258;15,479592;15,479592
model_10002208;24,709351;7,673469;7,673469
model_10002209;22,136163;11,428571;11,428571
model_10002211;33,759412;20,081633;20,081633
model_10002212;22,910335;8,275510;8,275510
model_10002213;40,679039;10,193878;10,193878
model_10002214;13,612798;7,020408;7,020408
model_10002215;25,865504;8,142857;8,142857
model_10002216;20,888760;9,000000;9,000000
model_10002217;15,803411;8,622449;8,622449
model_10002218;43,913635;18,163265;18,163265
model_10002219;16,152387;4,591837;4,591837
model_10002220;16,152387;4,591837;4,591837
model_10002221;31,170496;17,571429;17,571429
model_10002223;24,529835;7,928571;7,928571
model_10002224;30,288438;16,285714;16,285714
model_10002225;16,152387;4,591837;4,591837
model_10002226;22,136163;11,428571;11,428571
model_10002227;24,709351;7,673469;7,673469
model_10002228;22,910456;6,275510;6,275510
model_10002229;16,152387;4,591837;4,591837
model_10002230;29,517720;13,408163;13,408163
model_10002231;47,442549;12,632653;12,632653
model_10002232;16,152387;4,591837;4,591837
model_10002233;25,623370;8,081633;8,081633
model_10002234;11,814119;7,663265;7,663265
model_10002235;16,152387;4,591837;4,591837
model_10002236;45,096383;12,571429;12,571429
model_10002237;16,557523;3,183673;3,183673
model_10002238;32,598454;19,663265;19,663265
model_10002239;28,701726;6,469388;6,469388
model_10002240;13,928600;6,132653;6,132653
model_10002241;16,675145;1,428571;1,428571
model_10002242;22,498338;12,969388;12,969388
model_10002243;13,021397;8,908163;8,908163
model_10002244;43,934838;28,224490;28,224490
model_10002245;10,501593;4,020408;4,020408
model_10002246;39,083096;14,653061;14,653061
model_10002247;39,561011;18,112245;18,112245
model_10002248;32,598454;19,663265;19,663265
model_10002249;41,463024;12,479592;12,479592
model_10002250;16,097607;4,469388;4,469388
model_10002251;21,097247;5,255102;5,255102
model_10002252;22,136163;11,428571;11,428571
model_10002253;46,152792;12,571429;12,571429
model_10002254;16,258161;2,734694;2,734694
model_10002255;25,746131;8,081633;8,081633
model_10002256;45,096383;12,571429;12,571429
model_10002257;21,827754;3,653061;3,653061
model_10002258;33,366514;25,234694;25,234694
model_10002259;16,152387;4,591837;4,591837
model_10002260;25,795090;10,081633;10,081633
model_10002261;32,127577;12,173469;12,173469
model_10002262;27,873028;11,744898;11,744898
model_10002263;32,060264;13,051020;13,051020
model_10002264;39,856122;11,224490;11,224490
model_10002265;35,548946;12,520408;12,520408
model_10002266;27,100408;15,530612;15,530612
model_10002267;40,467396;9,959184;9,959184
model_10002268;22,136163;11,428571;11,428571
model_10002269;20,888760;9,000000;9,000000
model_10002270;40,679039;10,193878;10,193878
model_10002271;46,561489;14,408163;14,408163
model_10002272;23,378347;11,887755;11,887755
model_10002273;22,136163;11,428571;11,428571
model_10002274;27,873028;11,744898;11,744898
model_10002275;15,687275;2,377551;2,377551
model_10002276;17,577580;6,734694;6,734694
model_10002277;45,096383;12,571429;12,571429
model_10002278;22,910456;6,275510;6,275510
model_10002279;41,665305;15,561224;15,561224
model_10002280;30,650890;8,816327;8,816327
model_10002281;40,467396;9,959184;9,959184
model_10002282;22,910456;6,275510;6,275510
model_10002283;27,873028;11,744898;11,744898
model_10002284;45,096383;12,571429;12,571429
