model;difficulty_score;difficulty_score_article;difficulty_score_article_capped_100
model_10000142;47,208101;14,408163;14,408163
model_10000143;17,965743;2,500000;2,500000
model_10000144;40,679039;10,193878;10,193878
model_10000145;15,687275;2,377551;2,377551
model_10000146;43,913635;18,163265;18,163265
model_10000147;45,096383;12,571429;12,571429
model_10000148;22,548939;6,734694;6,734694
model_10000149;22,136163;11,428571;11,428571
model_10000150;16,152387;4,591837;4,591837
model_10000151;20,308660;5,255102;5,255102
model_10000152;28,361118;19,051020;19,051020
model_10000153;44,893381;12,336735;12,336735
model_10000154;41,665305;15,561224;15,561224
model_10000155;45,096383;12,571429;12,571429
model_10000156;28,792732;5,938776;5,938776
model_10000157;35,637333;14,755102;14,755102
model_10000158;28,361118;19,051020;19,051020
model_10000159;22,136163;11,428571;11,428571
model_10000160;30,485077;23,734694;23,734694
model_10000161;40,679039;10,193878;10,193878
model_10000162;39,358800;23,326531;23,326531
model_10000163;45,096383;12,571429;12,571429
model_10000164;22,910456;6,275510;6,275510
model_10000165;43,323123;14,857143;14,857143
model_10000166;35,974124;13,520408;13,520408
model_10000167;45,096383;12,571429;12,571429
model_10000168;27,020557;16,377551;16,377551
model_10000169;22,379001;8,397959;8,397959
model_10000170;40,679039;10,193878;10,193878
model_10000171;15,687275;2,377551;2,377551
model_10000172;45,096383;12,571429;12,571429
model_10000173;45,096383;12,571429;12,571429
model_10000174;16,053943;2,734694;2,734694
model_10000175;30,087705;10,163265;10,163265
model_10000176;25,087291;7,112245;7,112245
model_10000177;15,687275;2,377551;2,377551
model_10000178;15,687275;2,377551;2,377551
model_10000179;24,117654;8,867347;8,867347
model_10000180;34,875232;10,122449;10,122449
model_10000181;28,761469;5,204082;5,204082
model_10000182;27,873028;11,744898;11,744898
model_10000183;24,786441;10,244898;10,244898
model_10000184;22,136163;11,428571;11,428571
model_10000185;13,327407;5,540816;5,540816
model_10000186;22,136163;11,428571;11,428571
model_10000187;32,108707;16,530612;16,530612
model_10000188;32,598454;19,663265;19,663265
model_10000189;15,687275;2,377551;2,377551
model_10000190;37,461534;12,826531;12,826531
model_10000191;15,687275;2,377551;2,377551
model_10000192;39,358800;23,326531;23,326531
